position,name + id,name,id,roster position,salary,game info,teamabbrev,avgpointspergame,team,projpts,projown
WR,Ryan Miller (40058874),Ryan Miller,40058874,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,4.5,Buccaneers,4.5,0.0
WR,Kameron Johnson (40058876),Kameron Johnson,40058876,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0.0,Buccaneers,3.2,0.0
WR,Jalen McMillan (40058878),Jalen McMillan,40058878,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0.0,Buccaneers,0.0,0.0
WR,Jaden Smith (40058880),Jaden Smith,40058880,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0.0,Buccaneers,0.0,0.0
WR,Garrett Greene (40058882),Garrett Greene,40058882,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0.0,Buccaneers,0.0,0.0
WR,Dennis Houston (40058884),Dennis Houston,40058884,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0.0,Buccaneers,0.0,0.0
WR,Arian Smith (40058886),Arian Smith,40058886,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0.4,Jets,4.7,0.1
WR,Isaiah Williams (40058888),Isaiah Williams,40058888,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0.0,Jets,2.9,0.0
WR,Irvin Charles (40058890),Irvin Charles,40058890,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0.0,Jets,0.0,0.0
WR,Quentin Skinner (40058892),Quentin Skinner,40058892,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0.0,Jets,0.0,0.0
WR,Jamaal Pritchett (40058894),Jamaal Pritchett,40058894,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0.0,Jets,0.0,0.0
WR,Brandon Smith (40058896),Brandon Smith,40058896,WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0.0,Jets,0.0,0.0
WR,Van Jefferson (40058728),Van Jefferson,40058728,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,1.5,Titans,4.4,0.0
WR,Ashton Dulin (40058850),Ashton Dulin,40058850,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0.75,Colts,3.3,0.0
WR,Anthony Gould (40058852),Anthony Gould,40058852,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0.0,Colts,2.7,0.0
WR,D.J. Montgomery (40058854),D.J. Montgomery,40058854,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0.0,Colts,0.0,0.0
WR,Coleman Owen (40058856),Coleman Owen,40058856,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0.0,Colts,0.0,0.0
WR,Laquon Treadwell (40058858),Laquon Treadwell,40058858,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0.0,Colts,0.0,0.0
WR,Tyler Scott (40058860),Tyler Scott,40058860,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0.0,Colts,0.0,0.0
WR,Chimere Dike (40058862),Chimere Dike,40058862,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,1.85,Titans,5.9,0.2
WR,Bryce Oliver (40058864),Bryce Oliver,40058864,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0.9,Titans,4.1,0.0
WR,Treylon Burks (40058866),Treylon Burks,40058866,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0.0,Titans,0.0,0.0
WR,Mason Kinsey (40058868),Mason Kinsey,40058868,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0.0,Titans,0.0,0.0
WR,James Proche II (40058870),James Proche II,40058870,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0.0,Titans,0.0,0.0
WR,Xavier Restrepo (40058872),Xavier Restrepo,40058872,WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0.0,Titans,3.7,0.0
WR,Noah Brown (40058740),Noah Brown,40058740,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,3.3,Commanders,3.5,0.0
WR,Jacoby Jones (40058838),Jacoby Jones,40058838,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,0.0,Commanders,0.0,0.0
WR,Ja'Corey Brooks (40058840),Ja'Corey Brooks,40058840,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,0.0,Commanders,0.0,0.0
WR,Chris Moore (40058842),Chris Moore,40058842,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,4.4,Commanders,4.0,0.0
WR,Phillip Dorsett II (40058844),Phillip Dorsett II,40058844,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0.0,Raiders,0.0,0.0
WR,Shedrick Jackson (40058846),Shedrick Jackson,40058846,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0.0,Raiders,0.0,0.0
WR,Alex Bachman (40058848),Alex Bachman,40058848,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0.0,Raiders,0.0,0.0
WR,Justin Shorter (40059018),Justin Shorter,40059018,WR/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,0.0,Raiders,0.0,0.0
TE,Michael Mayer (40059072),Michael Mayer,40059072,TE/FLEX,3000,LV@WAS 09/21/2025 01:00PM ET,LV,5.35,Raiders,4.8,0.2
DST,Commanders  (40059314),Commanders ,40059314,DST,3000,LV@WAS 09/21/2025 01:00PM ET,WAS,5.5,Commanders,6.3,6.3
