Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
15,4863249035,rreader,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Harold Fannin Jr.,TE,2.77%,5.5
15,4863281534,himmie21,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Browns ,DST,2.68%,13
15,4863428308,borenaud,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Ja'Marr Chase,WR,2.45%,9.9
15,4863468478,silentbobbers,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Brock Bowers,TE,2.25%,9.8
15,4863473359,barneshome,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Zach Ertz,TE,2.19%,6.8
15,4863526808,crispy15,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Emeka Egbuka,WR,2.15%,14.5
15,4863635093,SeaBassFish,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Elic Ayomanor,WR,2.12%,13.8
15,4863656410,David098,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Kyle Pitts Sr.,TE,1.99%,7.9
15,4863723438,bigwilly43729,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Brian Thomas Jr.,FLEX,1.84%,7.5
15,4863796189,jcharn5,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Garrett Wilson,WR,1.73%,24.4
15,4863828881,Max4Play,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Justin Herbert,QB,1.70%,18.6
15,4863943635,JTcapSNAKE,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Tucker Kraft,FLEX,1.64%,5.9
15,4863973017,YazanAlkhatib,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Baker Mayfield,QB,1.64%,17.72
15,4863993054,gwsanche,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Vikings ,DST,1.58%,30
15,4864020069,jeremiah141,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Quentin Johnston,WR,1.58%,14.9
15,4864054194,MaverickUSC,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,A.J. Brown,WR,1.48%,25.9
15,4864095841,martie55,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Ladd McConkey,WR,1.45%,8.1
15,4864105878,GoaTesk,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Chargers ,DST,1.44%,3
15,4864164789,Mr_Papageorgio,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Chase Brown,RB,1.42%,6
15,4864202779,jbolger23,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Breece Hall,RB,1.38%,9.2
15,4864261554,raj3m8,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Hunter Renfrow,WR,1.36%,2.6
15,4864469920,arnoldisnumerouno,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Buccaneers ,DST,1.33%,14
15,4864576354,WillCut66,0,193.88,DST Commanders  FLEX Jonathan Taylor QB Marcus Mariota RB Kenneth Walker III RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,T.J. Hockenson,TE,1.32%,15.9
15,4864635149,Gtowngolfer5,0,193.88,DST Commanders  FLEX Kenneth Walker III QB Marcus Mariota RB Jonathan Taylor RB Jordan Mason TE Trey McBride WR Puka Nacua WR Jaxon Smith-Njigba WR Keenan Allen,,Kayshon Boutte,WR,1.31%,4.8
