Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,cash_win,lineup_rating,cash_result
71,4853848475,rushilrs,0,177.36,DST Rams  FLEX Kyren Williams QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Rome Odunze,True,23.199484771840705,Win
73,4850546551,coreowend,0,176.99998,DST Panthers  FLEX David Montgomery QB Lamar Jackson RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Cedric Tillman,True,13.867080156054225,Win
74,4850300537,TheChupe,0,176.96,DST Rams  FLEX De'Von Achane QB Mac Jones RB Christian McCaffrey RB Breece Hall TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,True,18.80539361365182,Win
74,4853573430,Maxamilian777,0,176.95999,DST Colts  FLEX Amon-Ra St. Brown QB Mac Jones RB Christian McCaffrey RB Chuba Hubbard TE Juwan Johnson WR CeeDee Lamb WR Jaxon Smith-Njigba WR Ricky Pearsall,True,15.419121528442043,Win
76,4851897887,WetFartsSquad,0,176.62,DST Seahawks  FLEX Rome Odunze QB Josh Allen RB Chuba Hubbard RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Brian Thomas Jr. WR Hollywood Brown,True,11.004873988793575,Win
77,4853940919,dw1515,0,176.6,DST Saints  FLEX Elic Ayomanor QB Lamar Jackson RB Christian McCaffrey RB Travis Etienne Jr. TE Harold Fannin Jr. WR CeeDee Lamb WR Amon-Ra St. Brown WR Zay Flowers,True,16.97116290082986,Win
78,4854364774,griz22,0,176.56001,DST Saints  FLEX Travis Etienne Jr. QB Jared Goff RB James Conner RB Javonte Williams TE Sam LaPorta WR Amon-Ra St. Brown WR Zay Flowers WR Jaylen Waddle,True,8.324075254669163,Win
78,4851048685,dw729179,0,176.56,DST Rams  FLEX Javonte Williams QB Mac Jones RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Ricky Pearsall,True,20.034932882686327,Win
80,4846850962,dm628,0,176.54001,DST Saints  FLEX Jameson Williams QB Joe Burrow RB De'Von Achane RB James Cook TE Brenton Strange WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,True,10.944404844414828,Win
81,4850647769,shankapotimus07,0,176.44,DST Ravens  FLEX Trey McBride QB Dak Prescott RB James Conner RB Javonte Williams TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR DK Metcalf,True,12.113474969070586,Win
82,4850809371,Shlune,0,176.36002,DST Steelers  FLEX Garrett Wilson QB Jared Goff RB James Cook RB Zach Charbonnet TE Jake Ferguson WR Amon-Ra St. Brown WR Tee Higgins WR Jaxon Smith-Njigba,True,7.134848748553823,Win
82,4850541352,phillip89891980,0,176.36,DST Steelers  FLEX De'Von Achane QB Mac Jones RB Christian McCaffrey RB Jonathan Taylor TE Harold Fannin Jr. WR Ja'Marr Chase WR Ricky Pearsall WR Calvin Ridley,True,19.75274354225218,Win
84,4854367585,dax9876,0,176.23999,DST Saints  FLEX Rome Odunze QB Dak Prescott RB James Conner RB Quinshon Judkins TE Juwan Johnson WR CeeDee Lamb WR Puka Nacua WR Jaxon Smith-Njigba,True,10.23893149332946,Win
85,4854491721,jojoEmbiid,0,176.14,DST Bills  FLEX Hunter Renfrow QB Joe Burrow RB Saquon Barkley RB D'Andre Swift TE Pat Freiermuth WR Ja'Marr Chase WR Amon-Ra St. Brown WR Rashid Shaheed,True,4.192017055454846,Win
86,4854394590,Goldenyagers,0,176.04001,DST Patriots  FLEX Rome Odunze QB Dak Prescott RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR CeeDee Lamb WR Tee Higgins WR Keon Coleman,True,16.366471457042397,Win
87,4854303834,okie0522,0,175.74,DST Colts  FLEX A.J. Brown QB Dak Prescott RB Christian McCaffrey RB Chuba Hubbard TE Brenton Strange WR Amon-Ra St. Brown WR George Pickens WR Rome Odunze,True,10.964561225874412,Win
88,4849531966,eescalante8,0,175.66,DST Titans  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,True,18.88601913949015,Win
88,4850496062,moosepsu,0,175.66,DST Titans  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,True,18.88601913949015,Win
88,4853710831,C.Allee,0,175.66,DST Titans  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,True,18.88601913949015,Win
88,4854238931,J_Gorilla,0,175.66,DST Rams  FLEX Christian McCaffrey QB Mac Jones RB James Cook RB Javonte Williams TE Harold Fannin Jr. WR Puka Nacua WR Garrett Wilson WR Jaxon Smith-Njigba,True,18.724768087813498,Win
92,4851647380,cbreezy62,0,175.6,DST Rams  FLEX Harold Fannin Jr. QB Lamar Jackson RB Christian McCaffrey RB Jonathan Taylor TE Chig Okonkwo WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Hollywood Brown,True,20.296965841660892,Win
93,4854459683,Brynlee2,0,175.44,DST Rams  FLEX James Cook QB Dak Prescott RB Javonte Williams RB TreVeyon Henderson TE Harold Fannin Jr. WR CeeDee Lamb WR Amon-Ra St. Brown WR Keon Coleman,True,8.686890120941642,Win
94,4849762712,Skittles194413,0,175.36,DST Rams  FLEX James Conner QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Hollywood Brown,True,20.67993708939295,Win
94,4851930809,and1jsheng,0,175.36,DST Seahawks  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Jaxon Smith-Njigba,True,21.466035966316653,Win
94,4853748768,atcole21,0,175.36,DST Seahawks  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Jaxon Smith-Njigba,True,21.466035966316653,Win
97,4850096503,hoff84,0,175.16002,DST Seahawks  FLEX Trey McBride QB Mac Jones RB Christian McCaffrey RB Tony Pollard TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Tee Higgins,True,19.450397820358447,Win
97,4850442048,jakebeecher22,0,175.16,DST Rams  FLEX Juwan Johnson QB Mac Jones RB Christian McCaffrey RB Trey Benson TE Jake Tonges WR Ja'Marr Chase WR CeeDee Lamb WR Puka Nacua,True,17.051788426668185,Win
99,4854426682,pfeifferj,0,175.05998,DST Rams  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Chris Olave,True,20.579155182095043,Win
100,4853737468,poncesd1,0,174.99998,DST Rams  FLEX Elic Ayomanor QB Lamar Jackson RB Christian McCaffrey RB De'Von Achane TE Juwan Johnson WR Puka Nacua WR Jaxon Smith-Njigba WR Chris Olave,True,18.3821096030006,Win
101,4852482448,rockersrockers,0,174.96,DST Rams  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Puka Nacua WR Tee Higgins WR Rome Odunze,True,22.856826287027815,Win
102,4854368249,spw724,0,174.86,DST Rams  FLEX Marvin Harrison Jr. QB Mac Jones RB De'Von Achane RB Kyren Williams TE Jake Ferguson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Davante Adams,True,15.82224915763368,Win
103,4854124391,Cf15,0,174.36,DST Rams  FLEX Jahmyr Gibbs QB Mac Jones RB De'Von Achane RB Kyren Williams TE Jake Ferguson WR Malik Nabers WR Jaxon Smith-Njigba WR Ricky Pearsall,True,15.721467250335772,Win
103,4854157964,Payner66,0,174.36,DST Seahawks  FLEX CeeDee Lamb QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Harold Fannin Jr. WR Puka Nacua WR Jaxon Smith-Njigba WR Hollywood Brown,True,19.571336109115943,Win
105,4852105304,brigante,0,174.34001,DST Rams  FLEX Breece Hall QB Dak Prescott RB Christian McCaffrey RB De'Von Achane TE Tyler Warren WR CeeDee Lamb WR Rome Odunze WR Elic Ayomanor,True,15.419121528442043,Win
106,4852387556,PlayingHard,0,174.18,DST Saints  FLEX Rome Odunze QB Caleb Williams RB Christian McCaffrey RB Dylan Sampson TE Dalton Kincaid WR Ja'Marr Chase WR Puka Nacua WR Hollywood Brown,True,15.378808765522878,Win
107,4852772702,Kapparino,0,174.16,DST Rams  FLEX James Conner QB Mac Jones RB Christian McCaffrey RB David Montgomery TE Harold Fannin Jr. WR CeeDee Lamb WR Puka Nacua WR Rome Odunze,True,18.805393613651823,Win
108,4854146176,mhuber,0,174.04,DST 49ers  FLEX Ja'Tavion Sanders QB Jalen Hurts RB Jahmyr Gibbs RB TreVeyon Henderson TE Brenton Strange WR Ja'Marr Chase WR Malik Nabers WR Rome Odunze,True,7.155005130013405,Win
109,4850416481,lenny_1880,0,173.96,DST Rams  FLEX Travis Etienne Jr. QB Mac Jones RB Derrick Henry RB Christian McCaffrey TE Juwan Johnson WR Puka Nacua WR Amon-Ra St. Brown WR Elic Ayomanor,True,17.071944808127768,Win
110,4854096234,cshue82,0,173.92001,DST Steelers  FLEX James Cook QB Josh Allen RB Christian McCaffrey RB Jaylen Warren TE Harold Fannin Jr. WR Malik Nabers WR Khalil Shakir WR Rome Odunze,True,12.073162206151425,Win
111,4853909879,daynnite,0,173.68001,DST Dolphins  FLEX Travis Etienne Jr. QB Caleb Williams RB Derrick Henry RB Christian McCaffrey TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Tetairoa McMillan WR Rome Odunze,True,15.257870476765385,Win
