Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,lineup_rating
60,4851695842,sbris10,0,179.76,DST Rams  FLEX Malik Nabers QB Mac Jones RB Christian McCaffrey RB D'Andre Swift TE Harold Fannin Jr. WR Amon-Ra St. Brown WR A.J. Brown WR DK Metcalf,125.70000000000002
61,4854479881,Ddoege,0,179.59999,DST Rams  FLEX CeeDee Lamb QB Drake Maye RB Javonte Williams RB Dylan Sampson TE Juwan Johnson WR Ja'Marr Chase WR Davante Adams WR Travis Hunter,111.24999999999999
62,4853855107,jrcross,0,179.55998,DST Rams  FLEX James Conner QB Mac Jones RB Javonte Williams RB Travis Etienne Jr. TE Juwan Johnson WR CeeDee Lamb WR Malik Nabers WR Zay Flowers,121.0
63,4848352611,cadebraden,0,179.18,DST Rams  FLEX Ja'Marr Chase QB Justin Fields RB Kyren Williams RB Javonte Williams TE Jonnu Smith WR Amon-Ra St. Brown WR Hollywood Brown WR Rome Odunze,117.64999999999999
64,4852311871,mlong2181,0,178.8,DST Patriots  FLEX Hollywood Brown QB Drake Maye RB Christian McCaffrey RB Chase Brown TE Brenton Strange WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Rome Odunze,134.45000000000002
65,4850561659,SunDevils21,0,178.76001,DST Rams  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Kyren Williams TE Harold Fannin Jr. WR Ja'Marr Chase WR CeeDee Lamb WR Rome Odunze,141.4
66,4850089833,Bobby2shots,0,178.2,DST Jets  FLEX Tyler Warren QB Lamar Jackson RB Christian McCaffrey RB Alvin Kamara TE Brenton Strange WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Rome Odunze,125.64999999999999
67,4853829225,jdrooks,0,178.16,DST 49ers  FLEX Amon-Ra St. Brown QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Dalton Kincaid WR Ja'Marr Chase WR Marvin Harrison Jr. WR Kayshon Boutte,114.1
68,4854312043,HoosierDaddy_FU,0,178.09999,DST Colts  FLEX Ja'Marr Chase QB Drake Maye RB Christian McCaffrey RB Javonte Williams TE Tyler Warren WR Zay Flowers WR Keon Coleman WR Wan'Dale Robinson,114.75
69,4850921591,tepod2001,0,177.73999,DST Seahawks  FLEX Hollywood Brown QB Dak Prescott RB Christian McCaffrey RB Travis Etienne Jr. TE Juwan Johnson WR CeeDee Lamb WR Malik Nabers WR Cedric Tillman,123.19999999999997
69,4854429599,bgm83,0,177.73999,DST Patriots  FLEX Malik Nabers QB Dak Prescott RB Chuba Hubbard RB Travis Etienne Jr. TE Brenton Strange WR Puka Nacua WR DK Metcalf WR Tetairoa McMillan,109.75
71,4852967695,Darkvayne,0,177.36,DST Rams  FLEX Travis Kelce QB Jared Goff RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR Hollywood Brown,127.05000000000001
71,4853848475,rushilrs,0,177.36,DST Rams  FLEX Kyren Williams QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Rome Odunze,144.15
73,4850546551,coreowend,0,176.99998,DST Panthers  FLEX David Montgomery QB Lamar Jackson RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Cedric Tillman,119.25
74,4850300537,TheChupe,0,176.96,DST Rams  FLEX De'Von Achane QB Mac Jones RB Christian McCaffrey RB Breece Hall TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,130.4
74,4853573430,Maxamilian777,0,176.95999,DST Colts  FLEX Amon-Ra St. Brown QB Mac Jones RB Christian McCaffrey RB Chuba Hubbard TE Juwan Johnson WR CeeDee Lamb WR Jaxon Smith-Njigba WR Ricky Pearsall,121.64999999999999
76,4851897887,WetFartsSquad,0,176.62,DST Seahawks  FLEX Rome Odunze QB Josh Allen RB Chuba Hubbard RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Brian Thomas Jr. WR Hollywood Brown,111.4
77,4853940919,dw1515,0,176.6,DST Saints  FLEX Elic Ayomanor QB Lamar Jackson RB Christian McCaffrey RB Travis Etienne Jr. TE Harold Fannin Jr. WR CeeDee Lamb WR Amon-Ra St. Brown WR Zay Flowers,125.50000000000001
78,4854364774,griz22,0,176.56001,DST Saints  FLEX Travis Etienne Jr. QB Jared Goff RB James Conner RB Javonte Williams TE Sam LaPorta WR Amon-Ra St. Brown WR Zay Flowers WR Jaylen Waddle,98.85
78,4851048685,dw729179,0,176.56,DST Rams  FLEX Javonte Williams QB Mac Jones RB Christian McCaffrey RB James Conner TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Ricky Pearsall,136.70000000000002
80,4846850962,dm628,0,176.54001,DST Saints  FLEX Jameson Williams QB Joe Burrow RB De'Von Achane RB James Cook TE Brenton Strange WR Ja'Marr Chase WR Hollywood Brown WR Rome Odunze,108.2
81,4850647769,shankapotimus07,0,176.44,DST Ravens  FLEX Trey McBride QB Dak Prescott RB James Conner RB Javonte Williams TE Harold Fannin Jr. WR Amon-Ra St. Brown WR Jaxon Smith-Njigba WR DK Metcalf,115.20000000000002
82,4850809371,Shlune,0,176.36002,DST Steelers  FLEX Garrett Wilson QB Jared Goff RB James Cook RB Zach Charbonnet TE Jake Ferguson WR Amon-Ra St. Brown WR Tee Higgins WR Jaxon Smith-Njigba,98.65
82,4850541352,phillip89891980,0,176.36,DST Steelers  FLEX De'Von Achane QB Mac Jones RB Christian McCaffrey RB Jonathan Taylor TE Harold Fannin Jr. WR Ja'Marr Chase WR Ricky Pearsall WR Calvin Ridley,129.85
84,4854367585,dax9876,0,176.23999,DST Saints  FLEX Rome Odunze QB Dak Prescott RB James Conner RB Quinshon Judkins TE Juwan Johnson WR CeeDee Lamb WR Puka Nacua WR Jaxon Smith-Njigba,105.35
85,4854491721,jojoEmbiid,0,176.14,DST Bills  FLEX Hunter Renfrow QB Joe Burrow RB Saquon Barkley RB D'Andre Swift TE Pat Freiermuth WR Ja'Marr Chase WR Amon-Ra St. Brown WR Rashid Shaheed,87.2
86,4854394590,Goldenyagers,0,176.04001,DST Patriots  FLEX Rome Odunze QB Dak Prescott RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR CeeDee Lamb WR Tee Higgins WR Keon Coleman,124.30000000000001
87,4854303834,okie0522,0,175.74,DST Colts  FLEX A.J. Brown QB Dak Prescott RB Christian McCaffrey RB Chuba Hubbard TE Brenton Strange WR Amon-Ra St. Brown WR George Pickens WR Rome Odunze,108.65
88,4849531966,eescalante8,0,175.66,DST Titans  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,129.15
88,4850496062,moosepsu,0,175.66,DST Titans  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,129.15
88,4853710831,C.Allee,0,175.66,DST Titans  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Ja'Marr Chase WR Malik Nabers WR JuJu Smith-Schuster,129.15
88,4854238931,J_Gorilla,0,175.66,DST Rams  FLEX Christian McCaffrey QB Mac Jones RB James Cook RB Javonte Williams TE Harold Fannin Jr. WR Puka Nacua WR Garrett Wilson WR Jaxon Smith-Njigba,131.2
92,4851647380,cbreezy62,0,175.6,DST Rams  FLEX Harold Fannin Jr. QB Lamar Jackson RB Christian McCaffrey RB Jonathan Taylor TE Chig Okonkwo WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Hollywood Brown,136.99999999999997
93,4854459683,Brynlee2,0,175.44,DST Rams  FLEX James Cook QB Dak Prescott RB Javonte Williams RB TreVeyon Henderson TE Harold Fannin Jr. WR CeeDee Lamb WR Amon-Ra St. Brown WR Keon Coleman,104.75000000000001
94,4849762712,Skittles194413,0,175.36,DST Rams  FLEX James Conner QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Hollywood Brown,138.5
94,4851930809,and1jsheng,0,175.36,DST Seahawks  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Jaxon Smith-Njigba,137.45
94,4853748768,atcole21,0,175.36,DST Seahawks  FLEX Hollywood Brown QB Mac Jones RB Christian McCaffrey RB Chase Brown TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Jaxon Smith-Njigba,137.45
97,4850096503,hoff84,0,175.16002,DST Seahawks  FLEX Trey McBride QB Mac Jones RB Christian McCaffrey RB Tony Pollard TE Harold Fannin Jr. WR Puka Nacua WR Malik Nabers WR Tee Higgins,130.9
97,4850442048,jakebeecher22,0,175.16,DST Rams  FLEX Juwan Johnson QB Mac Jones RB Christian McCaffrey RB Trey Benson TE Jake Tonges WR Ja'Marr Chase WR CeeDee Lamb WR Puka Nacua,124.75
99,4854426682,pfeifferj,0,175.05998,DST Rams  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB Javonte Williams TE Juwan Johnson WR Ja'Marr Chase WR Jaxon Smith-Njigba WR Chris Olave,137.6
100,4853737468,poncesd1,0,174.99998,DST Rams  FLEX Elic Ayomanor QB Lamar Jackson RB Christian McCaffrey RB De'Von Achane TE Juwan Johnson WR Puka Nacua WR Jaxon Smith-Njigba WR Chris Olave,131.5
101,4852482448,rockersrockers,0,174.96,DST Rams  FLEX Chase Brown QB Mac Jones RB Christian McCaffrey RB De'Von Achane TE Harold Fannin Jr. WR Puka Nacua WR Tee Higgins WR Rome Odunze,141.20000000000002
